ESG Corporate KPIs: Key Performance Indicators from Sustainalytics for corporate environmental, social, and governance metrics. Contains the full library of standard datafiles offered through Sustainalytics' Data Services solutions, including fields and indicators that have been discontinued but are still included in the historical dataset. In some cases, this also includes fields that are pending an upcoming release.

FieldId	FieldName	Description	FieldType	PossibleValues
181249372399	G.2.5 ESG Governance-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181249382399	G.2.6 ESG Performance Targets-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181249392399	G.3.1 Political Involvement Policy-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181249402399	G.3.2 Lobbying and Political Expenses-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181249412399	G.3.3.1 Transparency on Government Payments-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181249791499	S.3.2.3 U.S. Drug Price Transparency-Answer Category-RR	This refers to the answer category selected by the analyst during indicator research, which corresponds to a particular management indicator raw score. Not linked to a specific material ESG issue.	String	NULL|{text}
181250112399	S.1.1 Freedom of Association Policy-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250122399	S.1.1.1 Working Hours Policy-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250132399	S.1.2 Discrimination Policy-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250142399	S.1.3 Diversity Programmes-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250152399	S.1.4 Collective Bargaining Agreements-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250162399	S.1.5 Employee Turnover Rate-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250172399	S.1.5.1 Percentage of Temporary Workers-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250182399	S.1.5.2 Human Capital Development-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250202399	S.1.6.1 Employee Training-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250212399	S.1.6.2.1 Health and Safety Management System-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250222399	S.1.6.3 HIV/Aids Programmes-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250232399	S.1.6.4 Health & Safety Certifications-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250242399	S.1.6.5 LTIR Trend-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250252399	S.1.6.6 Employee Fatality Rate-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250262399	S.2.1 Scope of Social Supplier Standards-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250272399	S.2.1.1 Quality of Social Supplier Standards-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250282399	S.2.1.2 Signatory to Responsible Business Alliance (RBA)-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250292399	S.2.1.3 Conflict Minerals Policy-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250302399	S.2.1.3.1 Conflict Minerals Programmes-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250322399	S.2.2.2.1 Supply Chain Management-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250332399	S.2.2.3 Social Supplier Certification-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250342399	S.2.2.4 Fair Trade Products-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250352399	S.2.2.5 Contractor Safety Programme-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250362399	S.2.2.6 Contractor Fatalities-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250372399	S.3.1.1 Responsible Marketing Policy-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250382399	S.3.1.10 Occupier Satisfaction Surveys-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250392399	S.3.1.11 Customer Eco-Efficiency Programmes-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250402399	S.3.1.12 Drug Promotion Standards-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250412399	S.3.1.13 Ethical Marketing Promotion-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250422399	S.3.1.14 Responsible Gaming Programme-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250432399	S.3.1.15 Value-Based Health Care Programme-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250442399	S.3.1.2 Advertising Ethics Policy-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250452399	S.3.1.3 Data Privacy & Security Policy-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250462399	S.3.1.3.1 Data Privacy Programme-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250472399	S.3.1.3.2 Data Request Management-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250482399	S.3.1.4 Electromagnetic Safety Programmes-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250492399	S.3.1.6 Editorial Guidelines-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250502399	S.3.1.6.1 Media Ethics Programme-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250512399	S.3.1.8 Service Delays-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250522399	S.3.1.9 Product Health Statement-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250532399	S.3.1.9.1 Product and Service Safety Programme-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250542399	S.3.2.1 QMS Certifications-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250552399	S.3.2.2 Trial Data Transparency-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250562399	S.4.2.1 Human Rights Policy-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250572399	S.4.2.1.2 Human Rights Programme-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250582399	S.4.2.10 Access to Basic Services-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250592399	S.4.2.11 Community Development Programmes-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250602399	S.4.2.12 Digital Divide Programmes-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250612399	S.4.2.14 Value of Drug Donations-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250622399	S.4.2.15 Noise Management-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250632399	S.4.2.2 Community Involvement Programmes-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250642399	S.4.2.3 Financial Inclusion-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250652399	S.4.2.4 Access to Medicine Programme-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250662399	S.4.2.5 Neglected Diseases R&D-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250672399	S.4.2.6 Equitable Pricing and Availability-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250682399	S.4.2.6.1 Intellectual Property Access-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250692399	S.4.2.7 Access to Health Care-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250712399	S.4.2.9 Indigenous Rights Policy-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250722399	S.4.4.1 Systemic Risk Management-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250732399	S.4.4.2 Systemic Risk Reporting-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250742399	S.4.4.3 Tier 1 Capital Buffer-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250762399	S.4.4.5 Leverage Ratio-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181250791499	S.1.3.1 Gender Pay Equality Programme-Answer Category-RR	This refers to the answer category selected by the analyst during indicator research, which corresponds to a particular management indicator raw score. Not linked to a specific material ESG issue.	String	NULL|{text}
181250792399	S.4.4.8 Asset Quality-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181251791499	S.1.3.2 Gender Pay Disclosure-Answer Category-RR	This refers to the answer category selected by the analyst during indicator research, which corresponds to a particular management indicator raw score. Not linked to a specific material ESG issue.	String	NULL|{text}
181251792399	E.3.1.20 Fleet Age-Raw Score-RR	The score that corresponds to the management indicator answer category selected by the analyst during indicator research. Raw scores range from 0 to 100, with 0 indicating the lowest level of performance, and 100 indicating the highest level of performance. Not linked to a specific material ESG issue.	Integer	NULL|min. 0 max. 100
181252112199	E.1.1 Environmental Policy-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252122199	E.1.10 Carbon Intensity Trend-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252132199	E.1.11 Renewable Energy Use-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252142199	E.1.2 Environmental Management System-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252152199	E.1.2.1 Biodiversity Programmes-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252162199	E.1.2.2 Site Closure & Rehabilitation-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252172199	E.1.2.4 Oil Spill Disclosure & Performance-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252182199	E.1.2.5 Cyanide Management-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252192199	E.1.2.6.1 Solid Waste Management-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252202199	E.1.2.6.2 Mineral Waste Management-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252212199	E.1.2.6.3 Effluent Management-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252222199	E.1.2.6.4 Offshore Well Management-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252232199	E.1.2.6.5 Radioactive Waste Management-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252242199	E.1.2.7 Water Intensity-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252252199	E.1.2.7.1 Water Risk Management-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252262199	E.1.2.8 Forest Certifications-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252272199	E.1.3 EMS Certification-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252282199	E.1.3.1 Emergency Response Programme-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252292199	E.1.3.2 Hazardous Waste Management-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252302199	E.1.3.3 Non-GHG Air Emissions Programmes-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252312199	E.1.3.4 Water Management Programmes-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252322199	E.1.4 Environmental Fines & Penalties-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252332199	E.1.5 CDP Participation-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252342199	E.1.6 Scope of GHG Reporting-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252352199	E.1.6.1 GHG Risk Management-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252362199	E.1.6.2 Physical Climate Risk Management-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252372199	E.1.7.0 GHG Reduction Programme-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252382199	E.1.7.1 Green Logistics Programmes-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252402199	E.1.8 Renewable Energy Programmes-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252412199	E.1.9 Carbon Intensity-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252422199	E.2.1 Green Procurement Policy-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252432199	E.2.1.1 Supplier Environmental Programmes-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252442199	E.2.1.10 Food Retail Initiatives-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252452199	E.2.1.11 Shipbreaking Programme-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252462199	E.2.1.2 Supplier Environmental Certifications-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
181252472199	E.2.1.3 Sustainable Agriculture Programmes-Weight-Overall-RR	The weight of the management indicator for a specific material ESG issue as it relates to a company's overall management score. Linked to a specific material ESG issue.	Numerical	NULL|min. 0.00 max. 1.00
